channelKey,year,month,uploads_count_Normal,uploads_count_Short,views_total_Normal,views_total_Short,likes_total_Normal,likes_total_Short,comments_total_Normal,comments_total_Short,likes_per_1k_views_Normal,likes_per_1k_views_Short,comments_per_1k_views_Normal,comments_per_1k_views_Short,engagement_per_1k_views_Normal,engagement_per_1k_views_Short,avg_views_per_video_Normal,avg_views_per_video_Short,avg_duration_seconds_Normal,avg_duration_seconds_Short,views_mom_pct_Normal,views_mom_pct_Short,uploads_share_within_channel_month_Normal,uploads_share_within_channel_month_Short,views_share_within_channel_month_Normal,views_share_within_channel_month_Short,likes_per_1k_views_short_minus_normal,likes_per_1k_views_short_div_normal,comments_per_1k_views_short_minus_normal,comments_per_1k_views_short_div_normal,engagement_per_1k_views_short_minus_normal,engagement_per_1k_views_short_div_normal,avg_views_per_video_short_minus_normal,avg_views_per_video_short_div_normal
@Vox,2024,2024-02,5.0,3.0,3441583.0,7457839.0,73186.0,505304.0,2760.0,894.0,21.27,67.75,0.8,0.12,22.07,67.87,688316.6,2485946.33,472.0,59.67,-0.0477,-0.1888,0.625,0.375,0.3158,0.6842,46.48,3.185,-0.68,0.15,45.8,3.075,1797629.73,3.612
@Vox,2024,2024-03,5.0,7.0,6370663.0,1041429.0,148043.0,30961.0,12562.0,886.0,23.24,29.73,1.97,0.85,25.21,30.58,1274132.6,148775.57,524.8,50.57,0.8511,-0.8604,0.4167,0.5833,0.8595,0.1405,6.49,1.279,-1.12,0.431,5.37,1.213,-1125357.03,0.117
@Vox,2024,2024-04,3.0,2.0,3118626.0,222607.0,80654.0,9895.0,5124.0,98.0,25.86,44.45,1.64,0.44,27.51,44.89,1039542.0,111303.5,423.67,56.5,-0.5105,-0.7862,0.6,0.4,0.9334,0.0666,18.59,1.719,-1.2,0.268,17.38,1.632,-928238.5,0.107
@Vox,2024,2024-05,5.0,2.0,6713516.0,3707549.0,172622.0,183007.0,9506.0,1303.0,25.71,49.36,1.42,0.35,27.13,49.71,1342703.2,1853774.5,698.8,59.5,1.1527,15.6551,0.7143,0.2857,0.6442,0.3558,23.65,1.92,-1.07,0.246,22.58,1.832,511071.3,1.381
@Vox,2024,2024-06,4.0,1.0,4978039.0,309643.0,120860.0,16203.0,9717.0,209.0,24.28,52.33,1.95,0.67,26.23,53.0,1244509.75,309643.0,524.5,59.0,-0.2585,-0.9165,0.8,0.2,0.9414,0.0586,28.05,2.155,-1.28,0.344,26.77,2.021,-934866.75,0.249
@Vox,2024,2024-07,6.0,4.0,4695167.0,6677266.0,119503.0,364426.0,6629.0,5765.0,25.45,54.58,1.41,0.86,26.86,55.44,782527.83,1669316.5,392.5,60.0,-0.0568,20.5644,0.6,0.4,0.4129,0.5871,29.13,2.145,-0.55,0.61,28.58,2.064,886788.67,2.133
@Vox,2024,2024-08,3.0,9.0,3867731.0,1369704.0,83763.0,76894.0,8349.0,1336.0,21.66,56.14,2.16,0.98,23.82,57.11,1289243.67,152189.33,548.67,53.0,-0.1762,-0.7949,0.25,0.75,0.7385,0.2615,34.48,2.592,-1.18,0.454,33.29,2.398,-1137054.34,0.118
@Vox,2024,2024-09,3.0,5.0,1376094.0,2617344.0,47249.0,207790.0,6311.0,2049.0,34.34,79.39,4.59,0.78,38.92,80.17,458698.0,523468.8,1777.33,55.8,-0.6442,0.9109,0.375,0.625,0.3446,0.6554,45.05,2.312,-3.81,0.17,41.25,2.06,64770.8,1.141
@Vox,2024,2024-10,5.0,4.0,2188653.0,882948.0,62942.0,57213.0,2721.0,707.0,28.76,64.8,1.24,0.8,30.0,65.6,437730.6,220737.0,555.6,47.0,0.5905,-0.6627,0.5556,0.4444,0.7125,0.2875,36.04,2.253,-0.44,0.645,35.6,2.187,-216993.6,0.504
@Vox,2024,2024-11,2.0,5.0,6164835.0,7020241.0,160012.0,460149.0,20206.0,12715.0,25.96,65.55,3.28,1.81,29.23,67.36,3082417.5,1404048.2,611.0,58.8,1.8167,6.9509,0.2857,0.7143,0.4676,0.5324,39.59,2.525,-1.47,0.552,38.13,2.304,-1678369.3,0.456
